,steep_10s30s,flat_30s10s,bfly_2s10s30s_pos,bfly_2s10s30s_neg,bfly_5s10s30s_pos,bfly_5s10s30s_neg,steep_5s10s,bfly_2s5s10s_pos,bfly_2s5s10s_neg,steep_2s30s,flat_30s2s,steep_5s30s,flat_30s5s,steep_20s30s,bh_tlt,bh_50_50,barbell_shy_tlt,barbell_shy_ief,steep_10s20s,bh_ief,barbell_iei_tlt,bh_shv,steep_2s5s,steep_2s10s,flat_10s2s
steep_10s30s,1.0,-1.0,-0.9847585963540829,0.9847585963540829,-0.9827268568513088,0.9827268568513088,0.39883150857630817,-0.4152059480591327,0.4152059480591327,0.6377004520077564,-0.6377004520077564,0.8828124241641762,-0.8828124241641763,0.3705699917756592,-0.14640219288279352,-0.13978145682607407,0.1742665553770552,0.41127601749613263,0.23262362461895875,0.2894692662064774,0.1519640911933943,0.14248349869006485,0.0011868828827752249,0.1888195538457823,-0.18881955384578225
flat_30s10s,-1.0,1.0,0.9847585963540831,-0.9847585963540831,0.982726856851309,-0.982726856851309,-0.398831508576308,0.41520594805913286,-0.41520594805913286,-0.6377004520077564,0.6377004520077564,-0.8828124241641762,0.8828124241641762,-0.3705699917756591,0.14640219288279308,0.13978145682607374,-0.17426655537705552,-0.41127601749613274,-0.23262362461895902,-0.28946926620647784,-0.1519640911933946,-0.14248349869006502,-0.0011868828827749315,-0.1888195538457821,0.188819553845782
bfly_2s10s30s_pos,-0.9847585963540829,0.9847585963540831,1.0,-1.0,0.9899723268065324,-0.9899723268065324,-0.28262970964140505,0.36073028306721966,-0.36073028306721966,-0.49400794761172284,0.49400794761172284,-0.8129489908959797,0.8129489908959797,-0.2538120147090461,0.03464499634744669,0.030740409781619786,-0.23047458595335096,-0.45949662045447925,-0.34542193380134983,-0.39103597852080335,-0.24605189357554214,-0.08936575105195423,0.15700988684520265,-0.015143578964364789,0.015143578964364716
bfly_2s10s30s_neg,0.9847585963540829,-0.9847585963540831,-1.0,1.0,-0.9899723268065324,0.9899723268065324,0.28262970964140505,-0.36073028306721966,0.36073028306721966,0.49400794761172284,-0.49400794761172284,0.8129489908959797,-0.8129489908959797,0.2538120147090461,-0.03464499634744669,-0.030740409781619786,0.23047458595335096,0.45949662045447925,0.34542193380134983,0.39103597852080335,0.24605189357554214,0.08936575105195423,-0.15700988684520265,0.015143578964364789,-0.015143578964364716
bfly_5s10s30s_pos,-0.9827268568513088,0.982726856851309,0.9899723268065324,-0.9899723268065324,1.0,-1.0,-0.22223614498418667,0.25665218068850404,-0.25665218068850404,-0.5282617386097168,0.5282617386097168,-0.7806351273054105,0.7806351273054105,-0.2752525860632792,0.06479878516265616,0.05932140747268277,-0.21281767986035013,-0.442644205622783,-0.3217124076545814,-0.3609828307993366,-0.20287017427385018,-0.12369083150236941,0.059376782718003236,-0.06008081747339864,0.060080817473398544
bfly_5s10s30s_neg,0.9827268568513088,-0.982726856851309,-0.9899723268065324,0.9899723268065324,-1.0,1.0,0.22223614498418667,-0.25665218068850404,0.25665218068850404,0.5282617386097168,-0.5282617386097168,0.7806351273054105,-0.7806351273054105,0.2752525860632792,-0.06479878516265616,-0.05932140747268277,0.21281767986035013,0.442644205622783,0.3217124076545814,0.3609828307993366,0.20287017427385018,0.12369083150236941,-0.059376782718003236,0.06008081747339864,-0.060080817473398544
steep_5s10s,0.39883150857630817,-0.398831508576308,-0.28262970964140505,0.28262970964140505,-0.22223614498418667,0.22223614498418667,1.0,-0.9157288852803287,0.9157288852803287,0.7420465616394001,-0.7420465616394001,0.782843247275524,-0.782843247275524,0.5883965413273988,-0.45022242062543577,-0.4424829451087828,-0.13644252126811135,-0.026608791156724012,-0.3685884442590308,-0.2636929428016256,-0.2046501677146136,0.1377533666850626,0.3004785741909879,0.6970755176096819,-0.6970755176096816
bfly_2s5s10s_pos,-0.4152059480591327,0.41520594805913286,0.36073028306721966,-0.36073028306721966,0.25665218068850404,-0.25665218068850404,-0.9157288852803287,1.0,-1.0,-0.4780113541634712,0.4780113541634712,-0.7507875830875799,0.7507875830875799,-0.3778937603928429,0.2261203697751088,0.22498503971131212,0.01043568437111513,-0.09412557926630866,0.13801015932559538,0.03978932982863638,-0.021597126289220045,-0.0036848067117840827,0.10807221243272867,-0.3502448527411965,0.35024485274119654
bfly_2s5s10s_neg,0.4152059480591327,-0.41520594805913286,-0.36073028306721966,0.36073028306721966,-0.25665218068850404,0.25665218068850404,0.9157288852803287,-1.0,1.0,0.4780113541634712,-0.4780113541634712,0.7507875830875799,-0.7507875830875799,0.3778937603928429,-0.2261203697751088,-0.22498503971131212,-0.01043568437111513,0.09412557926630866,-0.13801015932559538,-0.03978932982863638,0.021597126289220045,0.0036848067117840827,-0.10807221243272867,0.3502448527411965,-0.35024485274119654
steep_2s30s,0.6377004520077564,-0.6377004520077564,-0.49400794761172284,0.49400794761172284,-0.5282617386097168,0.5282617386097168,0.7420465616394001,-0.4780113541634712,0.4780113541634712,1.0,-1.0,0.8127894920026562,-0.8127894920026562,0.7283950528442502,-0.5784272891931738,-0.5626229008743339,-0.14956669378645948,0.020950604131176744,-0.36691781610820295,-0.2847621073521318,-0.33004499244613583,0.3164912175055352,0.7012965712257482,0.876838734127845,-0.8768387341278452
flat_30s2s,-0.6377004520077564,0.6377004520077564,0.49400794761172284,-0.49400794761172284,0.5282617386097168,-0.5282617386097168,-0.7420465616394001,0.4780113541634712,-0.4780113541634712,-1.0,1.0,-0.8127894920026562,0.8127894920026562,-0.7283950528442502,0.5784272891931738,0.5626229008743339,0.14956669378645948,-0.020950604131176744,0.36691781610820295,0.2847621073521318,0.33004499244613583,-0.3164912175055352,-0.7012965712257482,-0.876838734127845,0.8768387341278451
steep_5s30s,0.8828124241641762,-0.8828124241641762,-0.8129489908959797,0.8129489908959797,-0.7806351273054105,0.7806351273054105,0.782843247275524,-0.7507875830875799,0.7507875830875799,0.8127894920026562,-0.8127894920026562,1.0,-1.0,0.5528323435556555,-0.32995339842526533,-0.32149672098902,0.048353575062481884,0.26542909332701026,-0.030961699528138594,0.0613396228091304,-0.0017169671629979628,0.16723901872935107,0.15471892984165325,0.48517953563728833,-0.48517953563728816
flat_30s5s,-0.8828124241641763,0.8828124241641762,0.8129489908959797,-0.8129489908959797,0.7806351273054105,-0.7806351273054105,-0.782843247275524,0.7507875830875799,-0.7507875830875799,-0.8127894920026562,0.8127894920026562,-1.0,1.0,-0.5528323435556555,0.32995339842526533,0.32149672098902,-0.048353575062481884,-0.26542909332701026,0.030961699528138594,-0.0613396228091304,0.0017169671629979628,-0.16723901872935107,-0.15471892984165325,-0.48517953563728833,0.4851795356372881
steep_20s30s,0.3705699917756592,-0.3705699917756591,-0.2538120147090461,0.2538120147090461,-0.2752525860632792,0.2752525860632792,0.5883965413273988,-0.3778937603928429,0.3778937603928429,0.7283950528442502,-0.7283950528442502,0.5528323435556555,-0.5528323435556555,1.0,-0.9427251789188512,-0.9393811749795272,-0.7409348571336434,-0.5932365681368893,-0.8170980601597788,-0.7524294971383383,-0.8063701539662252,-0.01770819976080895,0.55878898077809,0.6973114816110803,-0.6973114816110806
bh_tlt,-0.14640219288279352,0.14640219288279308,0.03464499634744669,-0.03464499634744669,0.06479878516265616,-0.06479878516265616,-0.45022242062543577,0.2261203697751088,-0.2261203697751088,-0.5784272891931738,0.5784272891931738,-0.32995339842526533,0.32995339842526533,-0.9427251789188512,1.0,0.9991231323291633,0.8930717338145497,0.7900992696718778,0.896309523764093,0.9044948239293438,0.9445623495624587,0.08234578797400732,-0.5771935188161927,-0.6460399189643897,0.6460399189643898
bh_50_50,-0.13978145682607407,0.13978145682607374,0.030740409781619786,-0.030740409781619786,0.05932140747268277,-0.05932140747268277,-0.4424829451087828,0.22498503971131212,-0.22498503971131212,-0.5626229008743339,0.5626229008743339,-0.32149672098902,0.32149672098902,-0.9393811749795272,0.9991231323291633,1.0,0.9007257195350477,0.798839304528943,0.8969156952768388,0.9065007528709097,0.9465747837498077,0.12399983089987128,-0.5607392260959816,-0.6300238253310524,0.6300238253310524
barbell_shy_tlt,0.1742665553770552,-0.17426655537705552,-0.23047458595335096,0.23047458595335096,-0.21281767986035013,0.21281767986035013,-0.13644252126811135,0.01043568437111513,-0.01043568437111513,-0.14956669378645948,0.14956669378645948,0.048353575062481884,-0.048353575062481884,-0.7409348571336434,0.8930717338145497,0.9007257195350477,1.0,0.9692350405076514,0.8840455168182192,0.939279527173161,0.9628698339671321,0.27437065573529185,-0.3128197403137758,-0.29944903462164163,0.2994490346216418
barbell_shy_ief,0.41127601749613263,-0.41127601749613274,-0.45949662045447925,0.45949662045447925,-0.442644205622783,0.442644205622783,-0.026608791156724012,-0.09412557926630866,0.09412557926630866,0.020950604131176744,-0.020950604131176744,0.26542909332701026,-0.26542909332701026,-0.5932365681368893,0.7900992696718778,0.798839304528943,0.9692350405076514,1.0,0.8764859066627048,0.9418238919942777,0.9292898075733574,0.2895935059718382,-0.2892727552959172,-0.22999482374319466,0.22999482374319485
steep_10s20s,0.23262362461895875,-0.23262362461895902,-0.34542193380134983,0.34542193380134983,-0.3217124076545814,0.3217124076545814,-0.3685884442590308,0.13801015932559538,-0.13801015932559538,-0.36691781610820295,0.36691781610820295,-0.030961699528138594,0.030961699528138594,-0.8170980601597788,0.896309523764093,0.8969156952768388,0.8840455168182192,0.8764859066627048,1.0,0.967571936373854,0.9387130197825352,0.10694416857765729,-0.5843679456543457,-0.6129676930684196,0.6129676930684196
bh_ief,0.2894692662064774,-0.28946926620647784,-0.39103597852080335,0.39103597852080335,-0.3609828307993366,0.3609828307993366,-0.2636929428016256,0.03978932982863638,-0.03978932982863638,-0.2847621073521318,0.2847621073521318,0.0613396228091304,-0.0613396228091304,-0.7524294971383383,0.9044948239293438,0.9065007528709097,0.939279527173161,0.9418238919942777,0.967571936373854,1.0,0.9794872659250643,0.14110777611006264,-0.5579883643790683,-0.5437109837177336,0.5437109837177339
barbell_iei_tlt,0.1519640911933943,-0.1519640911933946,-0.24605189357554214,0.24605189357554214,-0.20287017427385018,0.20287017427385018,-0.2046501677146136,-0.021597126289220045,0.021597126289220045,-0.33004499244613583,0.33004499244613583,-0.0017169671629979628,0.0017169671629979628,-0.8063701539662252,0.9445623495624587,0.9465747837498077,0.9628698339671321,0.9292898075733574,0.9387130197825352,0.9794872659250643,1.0,0.14539831433317402,-0.5576218496540699,-0.515614812949107,0.515614812949107
bh_shv,0.14248349869006485,-0.14248349869006502,-0.08936575105195423,0.08936575105195423,-0.12369083150236941,0.12369083150236941,0.1377533666850626,-0.0036848067117840827,0.0036848067117840827,0.3164912175055352,-0.3164912175055352,0.16723901872935107,-0.16723901872935107,-0.01770819976080895,0.08234578797400732,0.12399983089987128,0.27437065573529185,0.2895935059718382,0.10694416857765729,0.14110777611006264,0.14539831433317402,1.0,0.332088383580854,0.3145516413573856,-0.3145516413573855
steep_2s5s,0.0011868828827752249,-0.0011868828827749315,0.15700988684520265,-0.15700988684520265,0.059376782718003236,-0.059376782718003236,0.3004785741909879,0.10807221243272867,-0.10807221243272867,0.7012965712257482,-0.7012965712257482,0.15471892984165325,-0.15471892984165325,0.55878898077809,-0.5771935188161927,-0.5607392260959816,-0.3128197403137758,-0.2892727552959172,-0.5843679456543457,-0.5579883643790683,-0.5576218496540699,0.332088383580854,1.0,0.8933204788539851,-0.8933204788539852
steep_2s10s,0.1888195538457823,-0.1888195538457821,-0.015143578964364789,0.015143578964364789,-0.06008081747339864,0.06008081747339864,0.6970755176096819,-0.3502448527411965,0.3502448527411965,0.876838734127845,-0.876838734127845,0.48517953563728833,-0.48517953563728833,0.6973114816110803,-0.6460399189643897,-0.6300238253310524,-0.29944903462164163,-0.22999482374319466,-0.6129676930684196,-0.5437109837177336,-0.515614812949107,0.3145516413573856,0.8933204788539851,1.0,-1.0000000000000002
flat_10s2s,-0.18881955384578225,0.188819553845782,0.015143578964364716,-0.015143578964364716,0.060080817473398544,-0.060080817473398544,-0.6970755176096816,0.35024485274119654,-0.35024485274119654,-0.8768387341278452,0.8768387341278451,-0.48517953563728816,0.4851795356372881,-0.6973114816110806,0.6460399189643898,0.6300238253310524,0.2994490346216418,0.22999482374319485,0.6129676930684196,0.5437109837177339,0.515614812949107,-0.3145516413573855,-0.8933204788539852,-1.0000000000000002,1.0
